Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
Atomberg Technologies,2012,Mumbai,Consumer Electronics,Tech,A maker of energy-efficient smart fans,"Manoj Meena, Sibabrata Das",Ka Enterprises,,
Atomberg Technologies,2012,Mumbai,Consumer Electronics,Tech,A maker of energy-efficient smart fans,"Manoj Meena, Sibabrata Das",Ka Enterprises,,
Atomberg,2012,Mumbai,Consumer Electronics,Tech,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,"Manoj, Sibabrata Das",Jungle Ventures,"$20,000,000",
Deciwood,2018,New Delhi,Consumer Electronics,Tech,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta","$200,000",
Powerhouse91,2020,Gurgaon,Consumer goods,Consumer goods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.","Shashwat Diesh, Aqib Mohammed",Crossbeam Venture Partners,,Seed
Beco,2018,Mumbai,Consumer Goods,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,"$500,000",Seed
The Ayurveda Co,2021,Gurgaon,Consumer Goods,Consumer Goods,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital",,
The Sleep Company,2019,Mumbai,Consumer Goods,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,,Fireside Ventures,"$1,000,000",Pre-series A
Furlenco,2012,Bangalore,Consumer Goods,Consumer Goods,Furlenco is a different furniture company.,Ajith Mohan Karimpana,Zinnia Global,"$100,000,000",
Green Soul,2016,Maharashtra,Consumer Goods,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,Ravi Khushwani,velocity.in,"$200,000",
1Bridge,2016,Bangalore,Consumer Goods,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,"$2,500,000",
Imagimake,2011,Mumbai,Consumer Goods,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,,
Smytten,2015,Gurgaon,Consumer Goods,Consumer Goods,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,"$6,000,000",Series A
NOTO,2019,Mumbai,Consumer Goods,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital, John Abraham, WEH Ventures","$500,000",Pre-Series A
DrinkPrime,2016,Bangalore,Consumer Goods,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital","$1,000,000",
Neeman,2017,Hyderabad,Consumer Goods,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,"$2,000,000",Series A
Soothe Healthcare,2012,New Delhi,Consumer Goods,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,"$10,000,000",Series C
ChefKart,2020,Gurgaon,Consumer Goods,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures","$300,000",Pre-seed
Svish,2020,Gurgaon,Consumer Goods,Consumer Goods,D2C personal hygiene startup,"Ishan, Jaideep Mahajan",Nueva,"$400,000",Seed
The Indus Valley,2016,Chennai,Consumer Goods,Consumer Goods,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels","$1,100,000",
R for Rabbit,2014,Ahmedabad,Consumer Goods,Consumer Goods,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,Kunal Popat,Xponentia Capital Partners,"$5,000,000",
Vanity Wagon,2018,New Delhi,Consumer Goods,Consumer Goods,Vanity Wagon is India's first true information oriented clean beauty marketplace.,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,"$700,000",Pre-series A
SuperBottoms,2015,Mumbai,Consumer Goods,Consumer Goods,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,Pallavi Utagi,Alteria Capital,"$400,000",
Wonderchef,2009,Mumbai,Consumer Goods,Consumer Goods,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",Ravi Saxena,"Sixth Sense Ventures, Godrej Family office, Malpani Group","$20,000,000",
Koparo,2020,New Delhi,Consumer Goods,Consumer Goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,Simran Khara,"Saama Capital , Titan Capital , DSG Consumer Partners","$700,000",Seed
Evenflow Brands,2020,Mumbai,Consumer Goods,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Utsav Agarwal, Pulkit Chhabra",,"$500,000",
Evenflow Brands,2020,Mumbai,Consumer Goods,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Utsav Agarwal, Pulkit Chhabra",,"$500,000",
Perfora,2021,Gurgaon,Consumer Goods,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.vc,"$260,000",Pre-seed
Ninety One,2015,Ahmedabad,Consumer Goods,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Sachin Chopra, Vishal Chopra",A91 Partners,"$30,000,000",Series A
Lavado,2016,Mumbai,Consumer service,Service,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,Disha Jain,Ashish Shah,,
Go Swift,2019,Bangalore,Consumer Services,Service,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,"$2,000,000",Pre-series A
Edvizo,2017,Bangalore,Consumer Services,Service,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,"$1,000,000",Pre-series A
Supertails,2021,Bangalore,Consumer Services,Service,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,"$700,000",
Shadez,2019,Mumbai,Consumer Services,Service,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,"$200,000",Pre-series A
Coutloot,2016,Mumbai,Consumer Services,Service,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns","$8,000,000",Pre-series
Supertails,2021,Bangalore,Consumer Services,Service,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,"$700,000",
Shadez,2019,Mumbai,Consumer Services,Service,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,"$200,000",Pre-series A
Coutloot,2016,Mumbai,Consumer Services,Service,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns","$8,000,000",Pre-series
Simpl,2015,Bangalore,Consumer Services,Service,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures","$40,000,000",Series B
Bikry app,2019,Noida,Consumer software,Tech,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",Abhishek Bhayana,YCombinator,"$1,300,000",
Hypd Store,2020,New Delhi,Content commerce,Media,"A shop worthy content platform, personalized!","Ashwarya Garg, Akshay Bhatnagar",ScoopWhoop,,Pre-seed
Instoried,2018,Bangalore,Content creation,Media,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","EXPERT DOJO, Mumbai Angels",,
Pencil,2019,Mumbai,Content publishing,Media,Pencil is a content publishing platform that enables writers to publish their work for free.,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, SucSEED Venture Partners","$1,000,000",Pre-series A
Vanity Wagon,2018,Haryana,Cosmetics,Fashion,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners","$200,000",Seed
Minimalist,2020,Jaipur,Cosmetics,Fashion,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,"$10,000,000",Series A
Earth Rhythm,2020,Gurgaon,Cosmetics,Fashion,A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,"$1,200,000",Seed
RENEE Cosmetics,2019,Ahmedabad,Cosmetics,Fashion,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.","Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns","$1,500,000",Pre-series A
Vedic Cosmeceuticals,2002,Noida,Cosmetics,Fashion,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Mohit Goel,Sixth Sense Ventures,"$32,000,000",Series A
Stylework,2017,Gurgaon,Co-working,Service,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Sparsh Khandelwal,Inflection Point Ventures,"$500,000",Pre-series A
CustomerGlu,2016,Bangalore,CRM,Service,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal","$320,000",
Polygon,2017,Mumbai,Crypto,CRM,Polygon is a blockchain scalability platform.,"Jaynti Kanani, Sandeep Nailwal, Anurag Arjun","Mark Cuban, MiH Ventures",,
CoinSwitch Kuber,2017,Bangalore,Crypto,Fintech,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz","$260,000,000",Series C
AcknoLedger,2021,Mumbai,Crypto,Fintech,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,Yash Dahenkar,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital","$1,500,000",Seed
CoinSwitch Kuber,2017,Bangalore,Cryptocurrency,Fintech,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah","$15,000,000",Series A
Indic Inspirations,2019,Pune,Cultural,E-Commerce,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Sunil Jalihal,Marquee investors,"$300,000",
MyGlamm,2015,Mumbai,D2C,D2C,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,"$40,000,000",
G.O.A.T,2021,Bangalore,D2C,D2C,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures","$36,000,000",Series A
Mensa,2021,Bangalore,D2C,D2C,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital","$135,000,000",Series B
GlobalBees,2021,New Delhi,D2C Business,D2C,Globalbees partners with entrepreneurs who have built an online-first business. Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners","$150,000,000",Series A
Bewakoof,2011,Mumbai,D2C Fashion,D2C,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust","$4,000,000",
Almo,2020,Gurgaon,D2C Fashion,D2C,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,,Seed
Melorra,2015,Bangalore,D2C jewellery,D2C,A company that styles jewellery for the contemporary wardrobe.,Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest","$24,000,000",
WaterScience,2014,Bangalore,D2C startup,D2C,The aim of making good water affordable and accessible.,Sudeep N,,,
,2014,Bangalore,Dating,Social Network,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,Able Joseph,"Anas Rahman Junaid, Vinod Jose",,Pre-series A
TrulyMadly,2013,New Delhi,Dating,Social Network,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor","$2,000,000",Pre-series A
Glii,2020,Noida,Dating,Social Network,India’s finest dating companionship application,Shivam Kaushik,We Founder Circle,"$100,00",Seed
Chara,2019,Bangalore,Deep Tech,Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,"$850,000",Seed
peAR,2018,Mumbai,Deeptech,Tech,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,"$300,000",Pre-series A1
Log 9 Materials,2014,Bangalore,Deeptech,Tech,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,"$8,500,000",Series A+
Pixuate,2012,Bangalore,DeepTech,Tech,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,"$1,000,000",Seed
NeuroPixel.AI,2020,Bangalore,Deeptech,Tech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,,"Arvind Venugopal Nair, Amritendu Mukherjee","$800,000",Seed
Voxelgrids,2017,Bangalore,Deeptech,Tech,"Voxelgrids is an Magnetic Resonance Imaging technology startup that is based out of Bengaluru, Karnataka, India.",Arjun Arunachalam,Zoho,"$5,000,000",
NeuroPixel.AI,2020,Bangalore,Deeptech,Tech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,,"Arvind Venugopal Nair, Amritendu Mukherjee","$800,000",Seed
Voxelgrids,2017,Bangalore,Deeptech,Tech,"Voxelgrids is an Magnetic Resonance Imaging technology startup that is based out of Bengaluru, Karnataka, India.",Arjun Arunachalam,Zoho,"$5,000,000",
SatSure,2017,Bangalore,Defense & Space,Defense,SatSure is an innovative decision analytics company,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju",Baring PE India,,
Dunzo,2015,Bangalore,Delivery service,Service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund","$40,000,000",Series E
Design Cafe,2015,Bangalore,Design,Media,Design Cafe is on a mission to democratize good design for homes in India.,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures","$25,000,000",
Flipspaces,2011,Mumbai,Design,Media,"Flipspaces is a global tech-enabled venture towards discovery, design and delivery of commercial and residential spaces",Kunal Sharma,Prashasta Seth,"$2,000,000",Pre-series B
Design Cafe,2015,Bangalore,Design,Media,Design Cafe is on a mission to democratize good design for homes in India.,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures","$25,000,000",
Flipspaces,2011,Mumbai,Design,Media,"Flipspaces is a global tech-enabled venture towards discovery, design and delivery of commercial and residential spaces",Kunal Sharma,Prashasta Seth,"$2,000,000",Pre-series B
LoanKuber,2016,New Delhi,Digital mortgage,FinTech,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,,"$1,200,000",Pre-Series A
ShopMyLooks,2021,Noida,Digital platform,Media,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,Rohit Jaiswal,"Capital A, Collective Artists Network","$200,000",
The ePlane,2016,Chennai,Drone,Tech,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan","$1,000,000",Seed
ideaForge,2007,Mumbai,Drone,Tech,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,"Ankit Mehta, Ashish Bhat","Infosys, Qualcomm Ventures","$2,000,000",
UrbanMatrix Technologies,2019,Chennai,Drone,Tech,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,"$100,000",
KIKO TV,2020,Mumbai,E-commerce,E-Commerce,KIKO TV is an AI-based short live video e-commerce platform.,Shivam Varshney,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",,Pre-series A
Paperfly,2016,Bangalore,E-commerce,E-Commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,"$11,000,000",
Infra.Market,2016,Thane,E-commerce,E-Commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,"$6,000,000",Debt
Udaan,2016,Bangalore,E-commerce,E-Commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital","$280,000,000",
KiranaKart,2020,Mumbai,E-commerce,E-Commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,"$720,000",Pre-seed
Express Stores,2019,Gurgaon,E-commerce,E-Commerce,Express Stores is a retail and omnichannel startup company,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal","$1,000,000",Seed
Pepperfry,2011,Mumbai,E-commerce,E-Commerce,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"Ambareesh Murty, Ashish Shah","InnoVen Capital, Bertelsmann India Investments","$30,000,000",Debt
OwO,2020,Gurgaon,E-commerce,E-Commerce,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",Hardev Sahu,ah! Ventures,"$200,000",
Zetwerk,2018,Bangalore,E-commerce,E-Commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel","$120,000,000",Series D
CityMall,2019,Gurgaon,E-commerce,E-Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners","$11,000,000",Series A
Ecom Express,2012,New Delhi,E-commerce,E-Commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group","$20,000,000",
AMPM,2018,Gurgaon,E-commerce,E-Commerce,24*7 convenience store,Shubham Gupta,Agility Venture Partners,"$200,000",
Cashify,2009,Gurgaon,E-commerce,E-Commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments","$15,000,000",
DealShare,2018,Jaipur,E-commerce,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital","$3,000,000",Debt
Taikee,2010,Mumbai,E-commerce,E-Commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",,"$1,000,000",
DealShare,2018,Jaipur,E-commerce,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital","$9,000,000",
Beldara,2018,Mumbai,E-commerce,E-Commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,"$7,400,000",
Eunimart,2016,Hyderabad,E-commerce,E-Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt","$700,000",Pre-series A
Meesho,2015,Bangalore,E-commerce,E-Commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway","$300,000,000",
Easebuzz,2015,Pune,E-commerce,E-Commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau","$4,000,000",Series A
ElasticRun,2015,Pune,E-commerce,E-Commerce,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital","$75,000,000",Series D
QuickSell,2017,Mumbai,E-commerce,E-Commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain","$2,000,000",Pre-series A
Candes,2015,New Delhi,E-commerce,E-Commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria","$3,000,000",
Jumbotail,2015,Bangalore,E-commerce,E-Commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,"$4,000,000",Debt
CityMall,2019,Gurgaon,E-commerce,E-Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures","$22,000,000",Series B
WINDO,2020,Hyderabad,E-commerce,E-Commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,"Silus Reddy Chintapalli, Rakesh Vaddadi",Unicorn India Ventures,"$500,000",Seed
ApnaKlub,2020,Bangalore,E-commerce,E-Commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Shruti, Manish Kumar","Blume Ventures, Whiteboard Capital",,Pre-series A
Ourbetterplanet,2020,Bangalore,E-commerce,E-Commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,"$300,000",Seed
UpScalio,2021,Gurgaon,E-commerce,E-Commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,,"$42,000,000",
Bikayi,2019,Hyderabad,E-commerce,E-Commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,"$10,000,000",Series A
ANS Commerce,2017,Gurgaon,E-commerce,E-Commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts","$2,200,000",Pre-Series A
Purplle,2012,Mumbai,E-commerce,E-Commerce,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,"Rahul Dash, Manish Taneja",Kedaara,"$70,000,000",
Bikayi,2019,Hyderabad,E-commerce,E-Commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,"$10,000,000",Series A
Zepto,2021,Mumbai,E-commerce,E-Commerce,Grocery delivery startup,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator","$60,000,000",
Troo Good,2018,Hyderabad,E-commerce,E-Commerce,An FMCG company selling nutritious products at an affordable price points.,Raju Bhupati,OAKS Asset Management,"$7,000,000",Series A
Yodacart,2019,Thane,E-commerce,E-Commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,"$225,000",Pre-seed
Zepto,2021,Bangalore,E-commerce,E-Commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit Palicha, Kaivalya Vohra",Y-Combinator,"$100,000,000",
GlobalBees,2021,New Delhi,E-commerce,E-Commerce,Globalbees partners with entrepreneurs who have built an online-first business.,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital","$111,000,000",Series B
Qin1,2019,Noida,EdTech,EdTech,Re-imagining Kids of 21st Century!,Ishan Gupta,Venture Catalysts,,Pre-series A
MasterMentors,2019,West Bengal,EdTech,EdTech,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,"Suraj Juneja, Vijay Rachh, and Aaquib Hussain",,"$1,500,000",
Junio,2020,New Delhi,EdTech,EdTech,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,"Kunal Shah, Deepak Abbot","$1,000,000",
BeyondSkool,2020,Mumbai,EdTech,EdTech,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,"$2,000,000",Seed
Mindler,2015,New Delhi,EdTech,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, DLabs","$1,000,000",Pre-series A
Udayy,2019,Gurgaon,EdTech,EdTech,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,"$2,500,000",Seed
PurpleTutor,2019,Mumbai,EdTech,EdTech,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,"$300,000",Seed
Unacademy,2015,Bangalore,EdTech,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic","$50,000,000",
Pariksha,2015,Pune,EdTech,EdTech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund","$1,800,000",
Practically,2018,Telangana,EdTech,EdTech,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,"$4,000,000",Pre-series B
Kyt,2020,Bangalore,EdTech,EdTech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,"$5,000,000",Series A
HobSpace,2019,Mumbai,EdTech,EdTech,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks","$100,000",Pre-series A1
